instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/THEMIS/D/SST,THEMIS,SST,"THEMIS-D:  Solid State Telescope (SST): Energy flux spectrogram, electron/ion ground-calculated fluxes (30 keV - 300 keV).",THEMIS-D SST solid state telescope measuring superthermal electron and ion fluxes from 30 to 300 keV
spase://SMWG/Instrument/THEMIS/D/MOM,THEMIS,MOM,"THEMIS-D:  On Board moments:  ESA and SST Electron/Ion moments density, flux, velocity, pressure and temperature.","THEMIS-D MOM onboard plasma moments processor deriving electron and ion density, flux, velocity, pressure, and temperature from ESA and SST data"
spase://SMWG/Instrument/THEMIS/E/Ephemeris,THEMIS,Ephemeris,THEMIS-E Probe Status,THEMIS-E ephemeris data product providing spacecraft position and velocity for the THEMIS probe
spase://SMWG/Instrument/THEMIS/E/EFI,THEMIS,EFI,THEMIS-E Electric Field Instrument,THEMIS-E EFI double-probe electric field instrument measuring three-component ambient vector electric fields and waves
spase://SMWG/Instrument/THEMIS/E/ESA,THEMIS,ESA,THEMIS-E Electrostatic Analyzers,"THEMIS-E ESA electrostatic analyzers measuring 3D thermal ion and electron distributions, density, velocity, and temperature"
spase://SMWG/Instrument/THEMIS/E/SCM,THEMIS,SCM,THEMIS-E: Search Coil Magnetometer,THEMIS-E SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations from 0.1 Hz to 4 kHz
spase://SMWG/Instrument/THEMIS/E/FGM,THEMIS,FGM,THEMIS-E Fluxgate Magnetometer,THEMIS-E FGM fluxgate magnetometer measuring three-axis DC magnetic fields and low-frequency magnetic fluctuations
spase://SMWG/Instrument/THEMIS/E/SST,THEMIS,SST,"THEMIS-E:  Solid State Telescope (SST): Energy flux spectrogram, electron/ion ground-calculated fluxes (30 keV - 300 keV).",THEMIS-E SST solid state telescope measuring superthermal electron and ion fluxes from 30 to 300 keV
spase://SMWG/Instrument/THEMIS/E/MOM,THEMIS,MOM,"THEMIS-E:  On Board moments:  ESA and SST Electron/Ion moments density, flux, velocity, pressure and temperature.","THEMIS-E MOM onboard plasma moments processor deriving electron and ion density, flux, velocity, pressure, and temperature from ESA and SST data"
spase://SMWG/Instrument/THEMIS/Ground/UCLA-GBO/CHBG/ASI,THEMIS,ASI,THEMIS Ground Chibougamau All Sky Imager,THEMIS-Ground Chibougamau all-sky imager capturing wide-field auroral emissions over the auroral oval
spase://SMWG/Instrument/Ground/Akulivik/Magnetometer,Akulivik Geophysical Observatory,Magnetometer,Akulivik Magnetometer,Akulivik Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Amderma/Magnetometer,IAGA,Magnetometer,Amderma Magnetometer,IAGA Amderma ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Americus/Magnetometer,Americus Geophysical Observatory,Magnetometer,Americus Magnetometer,Americus Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Tasiilaq/Magnetometer,Tasiilaq Geophysical Observatory,Magnetometer,Tasiilaq Magnetometer,Tasiilaq Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Andenes/Magnetometer,Andenes Geophysical Observatory,Magnetometer,Andenes Magnetometer,Andenes Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Arctic.Village/Magnetometer,IAGA,Magnetometer,Arctic Village Magnetometer,Arctic Village IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Athabasca/Magnetometer,Athabasca Geophysical Observatory,Magnetometer,Athabasca Magnetometer,Athabasca Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Attu/Magnetometer,Attu Geophysical Observatory,Magnetometer,Attu Magnetometer,Attu Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Barentsburg/Magnetometer,IAGA,Magnetometer,Barentsburg Magnetometer,Barentsburg (IAGA BBG) ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Bennington/Magnetometer,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",Magnetometer,Bennington Magnetometer,Bennington geophysical observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Bettles/Magnetometer,Bettles Geophysical Observatory,Magnetometer,Bettles Magnetometer,Bettles Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Brorfelde/Magnetometer,IAGA,Magnetometer,Brorfelde Magnetometer,Brorfelde IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Bjorn/Magnetometer,Bjorn,Magnetometer,Bjorn Magnetometer,Bjorn geophysical observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Baker.Lake/Magnetometer,IAGA,Magnetometer,Baker Lake Magnetometer,Baker Lake (BLC) ground magnetometer measuring geomagnetic field variations in the IAGA network
spase://SMWG/Instrument/Ground/Bay.Mills/Magnetometer,Bay Mills Geophysical Observatory,Magnetometer,Bay Mills Magnetometer,Bay Mills Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Boulder/Magnetometer,IAGA,Magnetometer,Boulder Magnetometer,IAGA Boulder ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Baranov/Magnetometer,Baranov Geophysical Observatory,Magnetometer,Baranov Magnetometer,Baranov Geophysical Observatory ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Barrow/Magnetometer,IAGA,Magnetometer,Barrow Magnetometer,IAGA Barrow ground magnetometer measuring geomagnetic field variations at BRW
spase://SMWG/Instrument/Ground/NASA.Stennis.Space.Center/Magnetometer,NASA Stennis Space Center Geophysical Observatory,Magnetometer,NASA Stennis Space Center Magnetometer,NASA Stennis Space Center Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Cambridge.Bay/Magnetometer,IAGA,Magnetometer,Cambridge Bay Magnetometer,Cambridge Bay ground magnetometer measuring geomagnetic field variations at the IAGA CBB station
spase://SMWG/Instrument/Ground/Carson.City/Magnetometer,Carson City Geophysical Observatory,Magnetometer,Carson City Magnetometer,Carson City Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Cape.Dorset/Magnetometer,Cape Dorset Geophysical Observatory,Magnetometer,Cape Dorset Magnetometer,Cape Dorset Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Chibougamau/Magnetometer,Chibougamau Geophysical Observatory,Magnetometer,Chibougamau Magnetometer,Chibougamau Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Coral.Harbour/Magnetometer,Coral Harbour Geophysical Observatory,Magnetometer,Coral Harbour Magnetometer,Coral Harbour Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/College/Magnetometer,IAGA,Magnetometer,College Magnetometer,IAGA College (CMO) ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Clyde.River/Magnetometer,Clyde River Geophysical Observatory,Magnetometer,Clyde River Magnetometer,Clyde River Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Dead.Horse/Magnetometer,Dead Horse Geophysical Observatory,Magnetometer,Dead Horse Magnetometer,Dead Horse Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Dikson/Magnetometer,Dikson Geophysical Observatory,Magnetometer,Dikson Magnetometer,Dikson Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Danmarkshavn/Magnetometer,Danmarkshavn Geophysical Observatory,Magnetometer,Danmarkshavn Magnetometer,Danmarkshavn Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Daneborg/Magnetometer,Daneborg Geophysical Observatory,Magnetometer,Daneborg Magnetometer,Daneborg Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Dombas/Magnetometer,IAGA,Magnetometer,Dombas Magnetometer,IAGA Dombås ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Donna/Magnetometer,Donna Geophysical Observatory,Magnetometer,Donna Magnetometer,Donna Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Derby/Magnetometer,Derby Geophysical Observatory,Magnetometer,Derby Magnetometer,Derby Geophysical Observatory ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Eagle/Magnetometer,Eagle Geophysical Observatory,Magnetometer,Eagle Magnetometer,Eagle Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Ekati/Magnetometer,Ekati Geophysical Observatory,Magnetometer,Ekati Magnetometer,Ekati Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.Churchill/Magnetometer,Fort Churchill Geophysical Observatory,Magnetometer,Fort Churchill Magnetometer,Fort Churchill Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Paamiut/Magnetometer,Paamiut Geophysical Observatory,Magnetometer,Paamiut Magnetometer,Paamiut Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fredericksburg/Magnetometer,IAGA,Magnetometer,Fredericksburg Magnetometer,IAGA Fredericksburg ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fresno/Magnetometer,IAGA,Magnetometer,Fresno Magnetometer,IAGA FRN Fresno ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.Simpson/Magnetometer,IAGA,Magnetometer,Fort Simpson Magnetometer,Fort Simpson IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.St.John/Magnetometer,Fort St. John Geophysical Observatory,Magnetometer,Fort St. John Magnetometer,Fort St. John Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.Smith/Magnetometer,IAGA,Magnetometer,Fort Smith Magnetometer,Fort Smith ground magnetometer measuring geomagnetic field variations at the IAGA FSM station
spase://SMWG/Instrument/Ground/Fort.Nelson/Magnetometer,Fort Nelson Geophysical Observatory,Magnetometer,Fort Nelson Magnetometer,Fort Nelson Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.Yukon/Magnetometer,IAGA,Magnetometer,Fort Yukon Magnetometer,Fort Yukon IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Fort.Yates/Magnetometer,Fort Yates Geophysical Observatory,Magnetometer,Fort Yates Magnetometer,Fort Yates Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Gakona/Magnetometer,Gakona Geophysical Observatory,Magnetometer,Gakona Magnetometer,Gakona Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Goose.Bay/Magnetometer,Goose Bay Geophysical Observatory,Magnetometer,Goose Bay Magnetometer,Goose Bay Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Qeqertarsuaq/Magnetometer,Qeqertarsuaq Geophysical Observatory,Magnetometer,Qeqertarsuaq Magnetometer,Qeqertarsuaq Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Nuuk/Magnetometer,Nuuk Geophysical Observatory,Magnetometer,Nuuk Magnetometer,Nuuk Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Gillam/Magnetometer,IAGA,Magnetometer,Gillam Magnetometer,Gillam IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Gjoa.Haven/Magnetometer,Gjoa Haven Geophysical Observatory,Magnetometer,Gjoa Haven Magnetometer,Gjoa Haven Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Glyndon/Magnetometer,Glyndon Geophysical Observatory,Magnetometer,Glyndon Magnetometer,Glyndon Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Dededo/Magnetometer,Dededo Geophysical Observatory,Magnetometer,Dededo Magnetometer,Dededo Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Hankasalmi/Magnetometer,IAGA,Magnetometer,Hankasalmi Magnetometer,Hankasalmi IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Anchorage/Magnetometer,IAGA,Magnetometer,Anchorage Magnetometer,IAGA Anchorage ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Homer/Magnetometer,Homer Geophysical Observatory,Magnetometer,Homer Magnetometer,Homer Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Honolulu/Magnetometer,Honolulu Geophysical Observatory,Magnetometer,Honolulu Magnetometer,Honolulu Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Hopen/Magnetometer,Hopen Geophysical Observatory,Magnetometer,Hopen Magnetometer,Hopen Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Hot.Springs/Magnetometer,Hot Springs Geophysical Observatory,Magnetometer,Hot Springs Magnetometer,Hot Springs Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Hov.Faroe.Islands/Magnetometer,Hov Faroe Islands Geophysical Observatory,Magnetometer,Hov Faroe Islands Magnetometer,Hov Faroe Islands Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Harris/Magnetometer,Harris Geophysical Observatory,Magnetometer,Harris Magnetometer,Harris Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Hornepayne/Magnetometer,Hornepayne Geophysical Observatory,Magnetometer,Hornepayne Magnetometer,Hornepayne Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Igloolik/Magnetometer,Igloolik Geophysical Observatory,Magnetometer,Igloolik Magnetometer,Igloolik Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Inukjuak/Magnetometer,Inukjuak Geophysical Observatory,Magnetometer,Inukjuak Magnetometer,Inukjuak Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Inuvik/Magnetometer,IAGA,Magnetometer,Inuvik Magnetometer,IAGA Inuvik (INK) ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Iqaluit/Magnetometer,IAGA,Magnetometer,Iqaluit Magnetometer,IAGA Iqaluit ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Ivalo/Magnetometer,IAGA,Magnetometer,Ivalo Magnetometer,IAGA Ivalo ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Jan.Mayen/Magnetometer,IAGA,Magnetometer,Jan Mayen Magnetometer,IAGA Jan Mayen ground magnetometer measuring geomagnetic field variations at the JMI station
spase://SMWG/Instrument/Ground/Jackvik/Magnetometer,Jackvik Geophysical Observatory,Magnetometer,Jackvik Magnetometer,Jackvik Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Kaktovik/Magnetometer,Kaktovik Geophysical Observatory,Magnetometer,Kaktovik Magnetometer,Kaktovik Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Kapuskasing/Magnetometer,Kapuskasing Geophysical Observatory,Magnetometer,Kapuskasing Magnetometer,Kapuskasing Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Karmoy/Magnetometer,Karmoy Geophysical Observatory,Magnetometer,Karmoy Magnetometer,Karmoy Geophysical Observatory ground magnetometer measuring geomagnetic field variations
